"Tossup Question","Answer","Category","Author","Edited","Packet","Question Number","Comments","Id"
"In one story written in this language, a sheep with no wool flees into the plain after having a conversation with some horses and lamenting that they are driven by men. A revised version of that text by Hermann Hirt included labialized and palatized velars, and later Douglas Q. Adams published a version of that story which incorporated the laryngeal theory of this language's phonology. That text in this language was first composed by linguist August (*) Schleicher. Another story in this language was composed by Eric P. Hamp in an attempt to reconstruct the ""ancestor"" to a short passage from ancient Indian scriptures. Despite the fact that this language's speakers, whose homeland is the subject of the Kurgan hypothesis, did not have a writing system, linguists have reconstructed it through the use of the comparative method. For 10 points, identify this language spoken between 3,000 and 6,000 years ago whose daughter languages are now spoken across Europe and India.","_Proto-Indo-European_ [or _PIE_, do not accept ""Indo-European"", because that is not a language]","Social Science - Linguistics","Thompson","True","Packet 01","999","","10987"
"A character of this type named Adam Link reads a copy of ~Frankenstein~ after being incorrectly accused of causing the death of Charles in one story. One character of this type asks Agatha ""Do you understand, I shall always, always be there"" after saving her from being hit by a car in another story. In one short story, a character of this type gives the response ""THERE IS AS YET INSUFFICIENT (*) DATA FOR A MEANINGFUL ANSWER"" in response to repeated inquiries about how to reverse entropy. One character of this type murders a man after losing to him at chess in an Ambrose Bierce story named for that character. Moxon's Master is, for ten points, what type of character that also includes Multivac, HAL 9000, and the Electric Grandmother, common in science fiction works by authors like Isaac Asimov?","_robot_s [or _computer_s, or _AI_, or other obvious equivalents; prompt on __artificial__ or __non-human__]","Literature - American","Thompson","True","Packet 01","999","","11018"
"In a short story by this author, Pennifeather is cleared of murdering his uncle when a box supposedly containing Chateau-Margaux turns out to contain the corpse of that uncle, Barnabas Shuttlesworthy, prompting ""Old Charley Goodfellow"" to confess to murdering him. This author of ""'Thou Art the Man'"" wrote another short story in which a high rock named after the Bessop family turns out to be the ""bishop's hostel."" That story begins with (*) William Legrand finding a shiny ""scarabaeus"" with spots that look like a ""death's-head."" The narrator of another short story by this author asks ""why will you say I am mad?,"" kills an old man whose ""pale blue eye"" distresses him, and hides the body under the floorboards. For 10 points, name this author of ""The Gold-Bug"" and ""The Tell-Tale Heart.""","Edgar Allan _Poe_","Literature - American","Hankin","True","Packet 10","999","","11025"
"A poem by this man warns ""No memory of having starred / Atones for later disregard / Or keeps the end from being hard."" That poem by this author is about Abishag, ""the picture pride of Hollywood."" Another poem by this author opens with a woman taking a ""doubtful step"" and ""Looking back over her shoulder at some fear"" while descending a staircase to meet her husband, who ""saw her.../Before she saw him."" The speaker of another poem by this man claims to have ""(*) looked down the saddest city lane"" and ""outwalked the furthest city light."" In another poem by this man, the speaker's horse ""gives his harness bells a shake""; the speaker of that poem has ""miles to go before I sleep."" For 10 points, name this American poet of ""Acquainted With the Night"" and ""Stopping by Woods on a Snowy Evening.""","Robert _Frost_ \(The first two sentences refer to the poem ""Provide, Provide.""\)","Literature - American","Hankin","True","Packet 08","999","","11026"
"This novel notes that ""~camaraderie~...superadded to love between the sexes"" is ""the only love which is strong as death."" A gathering place in this novel, Warren's Malthouse, sells ale in a big mug called a ""God-forgive-me."" At the end of its first chapter, the male protagonist says ""'Vanity'"" is the greatest fault of its female protagonist, whom he had seen sitting on a wagon and looking at herself in a mirror. That man later erases the words ""and (*) child"" from the coffin of Fanny Robin. Near the end of this novel, a man thought drowned crashes a Christmas party and is shot by William Boldwood. This novel ends with the marriage of Gabriel Oak and Bathsheba Everdene. For 10 points, name this Thomas Hardy novel whose title comes from Thomas Gray's ""Elegy Written in a Country Churchyard.""","_~Far From the Madding Crowd~_","Literature - British","Hankin","True","Packet 02","999","","11027"
"This poet identified ""the worst pang that sorrow ever bore"" as ""Knowing my heart's best treasure was no more: / That neither present time, nor years unborn / Could to my sight that heavenly face restore."" The title girl of one of his poems – who some say ""sings a solitary song / That whistles in the wind"" – shares her first name with a woman whose death he called ""The difference to me."" The same woman ""seemed a thing that could not feel / The (*) touch of earthly years"" in this man's poem ""A slumber did my spirit seal."" In another poem, he wrote about lying on his couch ""In vacant or in pensive mood,"" the ""inward eye / Which is the bliss of solitude,"" and the title golden flowers. For 10 points, name this author of the ""Lucy"" poems and ""I wandered lonely as a cloud,"" also called ""Daffodils.""","William _Wordsworth_","Literature - British","Hankin","True","Packet 10","999","","11028"
"After the missionary William Blackstone left Wessagusett, this present-day U.S. city was where he lived as a hermit. A newspaper printed in this city that was banned after one issue, ~Publick Occurrences Both Forreign and Domestick~, was the first printed in America. William Dalrymple's garrison entered this city at the request of colonial governor Francis Bernard. This city was organized around three churches built on three hills, of which only (*) Beacon Hill remains.This city's harbor was protected by Castle William. Another colonial governor based here, Thomas Hutchinson, was replaced by Thomas Gage. During an event in this city sparked by a crowd throwing snowballs at British soldiers, Crispus Attucks was killed. For 10 points, a 1770 ""massacre"" took place in what capital of Massachusetts?","_Boston_","History - US","Hankin","False","Packet 14","999","Hbunker: switch some clues||Hbunker: tossup WIP. I left a preliminary powermark. ||","11030"
"After a general who defeated this Native American tribe and wanted to send them home was overruled, many of them were sent to what they called ""the hot place,"" the Ponca Reservation. A leader of this tribe chosen by the U.S. was known as ""The Lawyer""; his followers were called the ""Treaty Band"" because they had agreed to the 1863 ""Steal Treaty."" Fort Lapwai was built on the land of this tribe, which won at (*) White Bird Canyon. Their war leader Looking Glass was killed after their defeat at Bear Paw Mountain, fought while they tried to flee to Canada. One of their chiefs, who said ""I will fight no more forever,"" was Chief Joseph. For 10 points, what Native American tribe of the Pacific Northwest known for their horsemanship is usually called by a French name meaning ""pierced nose""?","_Nez Percé_ [or _Nimipu_ or _Tsoop-Nit-Pa-Loo_; accept _Sahaptin_ or _Shahaptin_]","History - US","Hankin","False","Packet 03","999","","11031"
"A Norman writer named Gerald was an important chronicler of this country's medieval history, and cross-dressing men ambushed toll gates during one series of riots in this country. A ruler of this country, whose rule was recognized by another country's king in the Treaty of Montgomery, had the epithet ""the Last."" Soldiers from this country often wore leeks in their (*) caps during the middle ages, and the border between this country and its eastern neighbor was ruled by a class of ""marcher lords"" and marked by Offa's Dyke. Owen Glendower was the last native of this country to proclaim himself its prince; that title is now held by heirs to the British throne. For 10 points, name this constituent country of the UK that lies west of England.","_Wales_ [or _Cymru_; prompt on Great __Britain__ or __U__nited __K__ingdom before ""constituent"" is read]","History - Euro","Hankin","True","Packet 09","999","","11032"
"The ""double-conquest"" theory identifies these people with the Avars. Because the seven tribes of these people formed a federation with three tribes of Kavars, their neighbors called them the ""Ten Arrows."" These people destroyed Great Moravia after being recruited by Arnulf. Byzantine emperor Leo VI paid them to attack the Bulgarians, who in turn paid the Pechenegs to attack these people. After the death of a ""sacred king"" of these people named Kurszán (koor-san), their offices of ~kende~ and ~gyula~ (joo-la) were united as a single monarchy. A subgroup of this people are known as (*) ~székely~ (see-kay). Another king of these people was crowned on Christmas Day, 1000 by Pope Sylvester II. In 955, they were defeated by Otto the Great at the Battle of Lechfeld. These people crossed the Carpathian Mountains in 895 AD, invading the Pannonian Basin. Árpád and Saint Stephen ruled, for 10 points, what Finno-Ugric people who settled what is now Hungary?","_Magyar_s [or _magyarok_; accept _Hungarian_s before ""Hungary""]","History - Euro","Hankin","False","Packet 16","999","","11034"
